date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-05-19,9.96,C,80.0,C,0.7,C,official_open_data,official_open_data,official_open_data
2025-05-20,11.87,C,78.0,C,1.4,C,official_open_data,official_open_data,official_open_data
2025-05-21,13.5,C,76.0,C,3.5,C,official_open_data,official_open_data,official_open_data
2025-05-22,22.25,C,75.0,C,8.5,C,official_open_data,official_open_data,official_open_data
2025-05-23,21.72,C,78.0,C,7.4,C,official_open_data,official_open_data,official_open_data
2025-05-24,10.44,C,75.0,C,3.0,C,official_open_data,official_open_data,official_open_data
2025-05-25,7.95,C,64.0,C,0.1,C,official_open_data,official_open_data,official_open_data
2025-05-26,12.26,C,63.0,C,0.9,C,official_open_data,official_open_data,official_open_data
2025-05-27,20.46,C,68.0,C,5.8,C,official_open_data,official_open_data,official_open_data
2025-05-28,7.17,C,85.0,C,0.2,C,official_open_data,official_open_data,official_open_data
2025-05-29,8.62,C,92.0,C,0.3,C,official_open_data,official_open_data,official_open_data
2025-05-30,6.62,C,89.0,C,0.1,C,official_open_data,official_open_data,official_open_data
2025-05-31,4.69,C,83.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-06-01,23.24,C,85.0,C,7.1,C,official_open_data,official_open_data,official_open_data
2025-06-02,13.54,C,84.0,C,3.6,C,official_open_data,official_open_data,official_open_data
2025-06-03,12.65,C,82.0,C,1.6,C,official_open_data,official_open_data,official_open_data
2025-06-04,3.97,C,88.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-06-05,13.7,C,79.0,C,0.8,C,official_open_data,official_open_data,official_open_data
2025-06-06,22.39,C,79.0,C,9.4,C,official_open_data,official_open_data,official_open_data
2025-06-07,26.52,C,78.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-06-08,26.85,C,79.0,C,12.0,C,official_open_data,official_open_data,official_open_data
2025-06-09,27.46,C,76.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-06-10,27.55,C,73.0,C,11.3,C,official_open_data,official_open_data,official_open_data
2025-06-11,12.67,C,83.0,C,2.0,C,official_open_data,official_open_data,official_open_data
2025-06-12,16.29,C,86.0,C,3.5,C,official_open_data,official_open_data,official_open_data
2025-06-13,12.72,C,91.0,C,2.3,C,official_open_data,official_open_data,official_open_data
2025-06-14,13.09,C,82.0,C,2.1,C,official_open_data,official_open_data,official_open_data
