month,load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,peak_grid_import_kw,battery_charge_kwh,battery_discharge_kwh,scenario,configuration
1,802030.8758444915,247128.59951552318,556417.1078332092,1514.8315042408597,1691.68294393884,0.0,0.0,design,roof_plus_flexileaf
2,719405.6264897069,175741.30347967273,544144.3990009439,480.07599090970143,1669.4868922542646,0.0,0.0,design,roof_plus_flexileaf
3,829047.0536279435,200723.32685414885,629012.1314611441,688.4046873494195,1850.8989058864224,0.0,0.0,design,roof_plus_flexileaf
4,917377.6300449923,205767.45240774576,711659.6927558412,49.51511859466882,2150.4022659979864,0.0,0.0,design,roof_plus_flexileaf
5,1084015.046733087,200997.94453979118,883017.1021932958,0.0,2515.1517543865375,0.0,0.0,design,roof_plus_flexileaf
6,1119480.7012048315,207638.48274340102,911842.2184614304,0.0,2752.678346096711,0.0,0.0,design,roof_plus_flexileaf
7,1203556.8849307133,220806.96079725568,982749.9241334577,0.0,3005.13921153342,0.0,0.0,design,roof_plus_flexileaf
8,1192308.842857548,197287.20952508034,995021.6333324678,0.0,3113.1191863034246,0.0,0.0,design,roof_plus_flexileaf
9,1131024.7553792365,219880.38311626218,911144.3722629744,0.0,2848.2162641660634,0.0,0.0,design,roof_plus_flexileaf
10,1072236.2024273165,225374.37453511482,846861.8278922016,0.0,2594.0327741602578,0.0,0.0,design,roof_plus_flexileaf
11,886361.3795349033,205076.41883657983,681284.9606983236,0.0,2234.5447942209,0.0,0.0,design,roof_plus_flexileaf
12,817155.0009252294,198608.0383193447,618745.4399780633,198.47737217864506,1755.9398118023616,0.0,0.0,design,roof_plus_flexileaf
1,802030.8758444915,247128.59951552318,558788.2058586257,0.0,1157.6455351810162,39855.6874836655,35969.75795400809,design,roof_plus_flexileaf_battery
2,719405.6264897069,175741.30347967273,547350.6617979103,0.0,1196.4901381640177,37808.60295257585,34122.26416469968,design,roof_plus_flexileaf_battery
3,829047.0536279435,200723.32685414885,632658.0934526239,-7.105427357601002e-15,1415.5268522086296,44455.042859787165,40120.67618095789,design,roof_plus_flexileaf_battery
4,917377.6300449923,205767.45240774576,716154.2943854933,0.0,1680.4995490386,46606.32562304367,42062.208874796896,design,roof_plus_flexileaf_battery
5,1084015.046733087,200997.94453979118,887743.711645879,0.0,2059.4231721234905,48478.04566751852,43751.436214935464,design,roof_plus_flexileaf_battery
6,1119480.7012048315,207638.48274340102,916409.1237164951,0.0,2314.9760636462142,46840.053898099264,42273.14864303457,design,roof_plus_flexileaf_battery
7,1203556.8849307133,220806.96079725568,987601.2100253868,0.0,2545.779660932437,49756.77837875983,44905.492486830735,design,roof_plus_flexileaf_battery
8,1192308.842857548,197287.20952508034,999968.4221839939,0.0,2661.6613984175337,50736.295913088565,45789.50706156241,design,roof_plus_flexileaf_battery
9,1131024.7553792365,219880.38311626218,915868.6077736854,0.0,2406.037229358082,48453.69754575335,43729.4620350424,design,roof_plus_flexileaf_battery
10,1072236.2024273165,225374.37453511482,851588.8798918774,0.0,2075.188424128711,48482.58461206012,43755.532612384275,design,roof_plus_flexileaf_battery
11,886361.3795349033,205076.41883657983,685622.8150416717,0.0,1790.6467370310618,44490.81377793053,40152.95943458229,design,roof_plus_flexileaf_battery
12,817155.0009252294,198608.0383193447,622917.4527329603,0.0,1306.2136002599557,44825.53976487826,40455.049637802615,design,roof_plus_flexileaf_battery
1,802030.8758444915,247128.59951552318,559473.3278824436,0.0,1121.9308317751738,46882.580035643216,42311.52848216799,design,full_microgrid_v2g
2,719405.6264897069,175741.30347967273,548026.5423837353,0.0,1144.5787718795625,44740.71152513828,40378.49215143714,design,full_microgrid_v2g
3,829047.0536279435,200723.32685414885,633699.5084622332,0.0,1327.479941707426,55136.222445523905,49760.44075708534,design,full_microgrid_v2g
4,917377.6300449923,205767.45240774576,717756.068056183,0.0,1577.5372377823414,63034.773527554375,56888.883108617825,design,full_microgrid_v2g
5,1084015.046733087,200997.94453979118,889407.7907797553,0.0,1958.089838790157,65545.52396368691,59154.835377227406,design,full_microgrid_v2g
6,1119480.7012048315,207638.48274340102,918013.867526456,0.0,2211.9147747037837,63298.96476949235,57127.315704466826,design,full_microgrid_v2g
7,1203556.8849307133,220806.96079725568,989307.0623770778,0.0,2424.179660932437,67252.69993456425,60695.56169094423,design,full_microgrid_v2g
8,1192308.842857548,197287.20952508034,1001552.0732589813,0.0,2540.0613984175334,66978.87104116431,60448.43111465077,design,full_microgrid_v2g
9,1131024.7553792365,219880.38311626218,917513.5174440187,0.0,2284.69145147516,65324.56595942926,58955.42077838493,design,full_microgrid_v2g
10,1072236.2024273165,225374.37453511482,853304.9948142424,0.0,1972.6692911901782,66083.76330298201,59640.59638094121,design,full_microgrid_v2g
11,886361.3795349033,205076.41883657983,687195.6786468382,0.0,1671.6044646542368,60622.748189894366,54712.030241379645,design,full_microgrid_v2g
12,817155.0009252294,198608.0383193447,623759.0704963042,0.0,1207.2177231742473,53457.51682481513,48245.408934395644,design,full_microgrid_v2g
1,802030.8758444915,0.0,802030.8758444915,0.0,2000.2403307214208,0.0,0.0,optimistic,grid_only
2,719405.6264897069,0.0,719405.6264897069,0.0,1955.5801574041204,0.0,0.0,optimistic,grid_only
3,829047.0536279435,0.0,829047.0536279435,0.0,2228.7327635206243,0.0,0.0,optimistic,grid_only
4,917377.6300449923,0.0,917377.6300449923,0.0,2678.003280173614,0.0,0.0,optimistic,grid_only
5,1084015.046733087,0.0,1084015.046733087,0.0,3355.6964357136653,0.0,0.0,optimistic,grid_only
6,1119480.7012048315,0.0,1119480.7012048315,0.0,3407.799711701641,0.0,0.0,optimistic,grid_only
7,1203556.8849307133,0.0,1203556.8849307133,0.0,3599.7895096121247,0.0,0.0,optimistic,grid_only
8,1192308.842857548,0.0,1192308.842857548,0.0,3542.108427869001,0.0,0.0,optimistic,grid_only
9,1131024.7553792365,0.0,1131024.7553792365,0.0,3420.0388421951357,0.0,0.0,optimistic,grid_only
10,1072236.2024273165,0.0,1072236.2024273165,0.0,2973.287309806134,0.0,0.0,optimistic,grid_only
11,886361.3795349033,0.0,886361.3795349033,0.0,2598.4338874744208,0.0,0.0,optimistic,grid_only
12,817155.0009252294,0.0,817155.0009252294,0.0,2094.78898787157,0.0,0.0,optimistic,grid_only
1,802030.8758444915,127030.50714264286,675000.3687018487,0.0,1700.2068850055155,0.0,0.0,optimistic,roof_pv_only
2,719405.6264897069,92854.877653225,626550.7488364818,0.0,1719.9300400369345,0.0,0.0,optimistic,roof_pv_only
3,829047.0536279435,109072.69287054283,719974.3607574006,0.0,1885.808753517168,0.0,0.0,optimistic,roof_pv_only
4,917377.6300449923,115190.6545900935,802186.9754548988,0.0,2278.6777095246384,0.0,0.0,optimistic,roof_pv_only
5,1084015.046733087,112444.60477322446,971570.4419598626,0.0,2749.143113620063,0.0,0.0,optimistic,roof_pv_only
6,1119480.7012048315,116136.66650995414,1003344.0346948773,0.0,2921.369183248821,0.0,0.0,optimistic,roof_pv_only
7,1203556.8849307133,125355.68024808596,1078201.2046826275,0.0,3231.044189483725,0.0,0.0,optimistic,roof_pv_only
8,1192308.842857548,111831.07992766572,1080477.7629298824,0.0,3184.1125757228906,0.0,0.0,optimistic,roof_pv_only
9,1131024.7553792365,121620.2914201556,1009404.463959081,0.0,3050.598868726236,0.0,0.0,optimistic,roof_pv_only
10,1072236.2024273165,120091.29246183226,952144.9099654842,0.0,2722.008379457906,0.0,0.0,optimistic,roof_pv_only
11,886361.3795349033,106257.8130476691,780103.5664872342,0.0,2321.813522506906,0.0,0.0,optimistic,roof_pv_only
12,817155.0009252294,101667.81503215132,715487.185893078,0.0,1795.5777607406606,0.0,0.0,optimistic,roof_pv_only
1,802030.8758444915,322581.41579276655,502529.9240746683,23080.46402294335,1691.68294393884,0.0,0.0,optimistic,roof_plus_flexileaf
2,719405.6264897069,229193.51193292974,500832.257255834,10620.142699056893,1667.8246610707117,0.0,0.0,optimistic,roof_plus_flexileaf
3,829047.0536279435,261542.46015430667,579371.4814313094,11866.887957672543,1828.8224020376906,0.0,0.0,optimistic,roof_plus_flexileaf
4,917377.6300449923,267856.357186367,651454.1535361683,1932.8806775430107,2065.611213575496,0.0,0.0,optimistic,roof_plus_flexileaf
5,1084015.046733087,261639.6179781135,822394.1360444959,18.707289522283418,2464.0046189233026,0.0,0.0,optimistic,roof_plus_flexileaf
6,1119480.7012048315,270276.91539327893,849275.5740752848,71.78826373221341,2709.4994218627353,0.0,0.0,optimistic,roof_plus_flexileaf
7,1203556.8849307133,287287.6519454068,916330.9888996189,61.75591431234875,2981.7881413273085,0.0,0.0,optimistic,roof_plus_flexileaf
8,1192308.842857548,256712.68461574533,935596.1582418027,0.0,3097.006923733855,0.0,0.0,optimistic,roof_plus_flexileaf
9,1131024.7553792365,286347.34981865453,845047.2274474552,369.821886873096,2826.1678281369595,0.0,0.0,optimistic,roof_plus_flexileaf
10,1072236.2024273165,293849.6100041924,778829.541518465,442.9490953409245,2552.229850689425,0.0,0.0,optimistic,roof_plus_flexileaf
11,886361.3795349033,267621.09034258913,622685.936701074,3945.6475087598783,2182.294001499795,0.0,0.0,optimistic,roof_plus_flexileaf
12,817155.0009252294,259273.07406438186,565399.6500984012,7517.72323755377,1755.9398118023616,0.0,0.0,optimistic,roof_plus_flexileaf
1,802030.8758444915,322581.41579276655,485724.2875596577,1164.0569892407293,1118.5671312884149,52418.15916607283,47307.38864738082,optimistic,roof_plus_flexileaf_battery
2,719405.6264897069,229193.51193292974,494928.5390812841,267.40999092648497,1136.7213743061536,45630.91829313258,41181.90375955214,optimistic,roof_plus_flexileaf_battery
3,829047.0536279435,261542.46015430667,572733.8433344702,1.4210854715202004e-14,1319.7411944139365,53633.331905983076,48404.08204514972,optimistic,roof_plus_flexileaf_battery
